origin,month,basso_count,basso_dep_delay_avg,basso_arr_delay_avg,medio_count,medio_dep_delay_avg,medio_arr_delay_avg,alto_count,alto_dep_delay_avg,alto_arr_delay_avg,top_causa_1,top_causa_2,top_causa_3
SAT,9,474,5.845991561181434,0.11839323467230443,317,30.7602523659306,23.981072555205046,146,172.63698630136986,164.32876712328766,late_aircraft_delay,carrier_delay,nas_delay
SAT,10,543,5.5764272559852675,-1.0736648250460405,324,29.811728395061728,21.510835913312693,132,164.1590909090909,153.08396946564886,late_aircraft_delay,carrier_delay,nas_delay
SAT,11,512,5.583984375,-1.345703125,293,30.31058020477816,23.119453924914676,130,162.2846153846154,157.2,carrier_delay,late_aircraft_delay,nas_delay
SAT,12,590,5.866101694915254,-0.08163265306122448,417,30.160671462829736,24.97596153846154,211,174.17535545023696,172.53333333333333,late_aircraft_delay,carrier_delay,nas_delay
SAV,1,180,6.372222222222222,-1.6611111111111112,153,32.529411764705884,24.7682119205298,90,223.36666666666667,219.59550561797752,late_aircraft_delay,carrier_delay,nas_delay
SAV,2,137,6.240875912408759,-2.4160583941605838,95,30.96842105263158,23.48421052631579,39,155.35897435897436,148.5897435897436,late_aircraft_delay,carrier_delay,nas_delay
SAV,3,240,6.075,-1.275,176,29.568181818181817,23.194285714285716,81,157.12345679012347,153.35,late_aircraft_delay,carrier_delay,nas_delay
SAV,4,277,6.350180505415162,2.2779783393501805,213,29.615023474178404,25.194312796208532,77,169.0,163.66233766233765,late_aircraft_delay,carrier_delay,nas_delay
SAV,5,332,5.743975903614458,1.7764350453172206,274,32.24452554744526,27.116788321167885,169,157.88165680473372,157.44642857142858,late_aircraft_delay,nas_delay,carrier_delay
SAV,6,305,6.160655737704918,-0.33223684210526316,218,29.59633027522936,24.045871559633028,101,166.02970297029702,162.52,carrier_delay,late_aircraft_delay,nas_delay
SAV,7,263,6.326996197718631,0.4961832061068702,302,31.99337748344371,28.44518272425249,229,178.2008733624454,176.98245614035088,late_aircraft_delay,carrier_delay,nas_delay
SAV,8,228,6.017543859649122,0.6447368421052632,185,31.783783783783782,27.313513513513513,126,166.04761904761904,165.28,late_aircraft_delay,nas_delay,carrier_delay
