origin,month,basso_count,basso_dep_delay_avg,basso_arr_delay_avg,medio_count,medio_dep_delay_avg,medio_arr_delay_avg,alto_count,alto_dep_delay_avg,alto_arr_delay_avg,top_causa_1,top_causa_2,top_causa_3
HYA,6,20,5.6,8.6,32,37.625,41.375,32,177.0,182.625,nas_delay,late_aircraft_delay,carrier_delay
HYA,7,48,5.916666666666667,12.333333333333334,44,34.45454545454545,37.09090909090909,48,161.16666666666666,167.27272727272728,nas_delay,late_aircraft_delay,carrier_delay
HYA,8,36,8.555555555555555,15.0,28,33.42857142857143,37.833333333333336,52,225.23076923076923,234.76923076923077,nas_delay,late_aircraft_delay,carrier_delay
HYA,9,0,"","",0,"","",4,64.0,61.0,nas_delay,carrier_delay,late_aircraft_delay
HYS,1,12,9.333333333333334,12.0,36,29.0,26.333333333333332,24,147.5,145.66666666666666,late_aircraft_delay,canc_B,nas_delay
HYS,2,4,8.0,32.0,12,38.0,46.0,8,122.5,128.0,nas_delay,late_aircraft_delay,carrier_delay
HYS,3,4,1.0,26.0,8,50.0,38.0,16,108.5,106.75,carrier_delay,nas_delay,canc_B
HYS,4,28,7.714285714285714,7.857142857142857,4,30.0,20.0,16,95.5,95.5,late_aircraft_delay,nas_delay,carrier_delay
HYS,5,28,7.714285714285714,5.714285714285714,24,34.833333333333336,31.166666666666668,48,323.5833333333333,318.3333333333333,late_aircraft_delay,nas_delay,weather_delay
HYS,6,24,8.333333333333334,3.8333333333333335,4,44.0,49.0,8,229.5,212.0,carrier_delay,late_aircraft_delay,nas_delay
HYS,7,12,6.666666666666667,22.333333333333332,0,"","",24,234.33333333333334,228.0,carrier_delay,nas_delay,late_aircraft_delay
HYS,8,16,6.0,2.75,8,21.5,7.0,16,182.5,169.0,nas_delay,late_aircraft_delay,carrier_delay
HYS,9,8,7.5,-5.5,0,"","",16,221.0,209.0,carrier_delay,Nessuna,Nessuna
HYS,10,4,7.0,-11.0,4,50.0,40.0,8,201.0,186.5,late_aircraft_delay,carrier_delay,Nessuna
HYS,11,4,8.0,2.0,8,50.5,37.5,12,125.66666666666667,121.33333333333333,carrier_delay,late_aircraft_delay,nas_delay
HYS,12,20,5.4,-1.8,4,27.0,18.0,8,168.0,159.5,carrier_delay,late_aircraft_delay,canc_B
IAD,1,2456,6.058631921824104,4.161764705882353,1708,29.89929742388759,30.704918032786885,1016,152.2244094488189,153.59448818897638,nas_delay,carrier_delay,late_aircraft_delay
IAD,2,1872,5.878205128205129,-2.0471092077087794,908,31.220264317180618,20.58149779735683,448,137.375,125.15315315315316,nas_delay,carrier_delay,late_aircraft_delay
IAD,3,2336,5.8715753424657535,-4.111492281303602,1696,31.43867924528302,21.011820330969268,940,135.2808510638298,125.73931623931624,nas_delay,carrier_delay,late_aircraft_delay
IAD,4,2284,5.9562171628721545,0.47543859649122805,1596,29.476190476190474,23.62155388471178,952,143.48319327731093,133.89406779661016,nas_delay,carrier_delay,late_aircraft_delay
IAD,5,2932,5.742155525238745,4.624657534246575,1900,30.705263157894738,26.74418604651163,1376,151.87209302325581,147.0728862973761,nas_delay,carrier_delay,late_aircraft_delay
IAD,6,2988,6.242302543507363,2.8659517426273458,1972,31.198782961460445,25.29471544715447,1252,162.80830670926517,155.9776357827476,carrier_delay,nas_delay,late_aircraft_delay
IAD,7,3476,6.227848101265823,2.430219146482122,2696,30.612759643916913,26.04179104477612,1704,162.47652582159625,155.19103773584905,carrier_delay,nas_delay,late_aircraft_delay
IAD,8,3072,6.08203125,1.2320730117340286,2036,31.3811394891945,26.948616600790515,1916,187.83089770354906,180.0041841004184,carrier_delay,nas_delay,late_aircraft_delay
IAD,9,2452,5.8450244698205545,-1.3986928104575163,1288,29.23913043478261,20.8944099378882,640,153.0,142.8125,nas_delay,carrier_delay,late_aircraft_delay
IAD,10,2688,5.681547619047619,-3.1117734724292103,1228,29.693811074918568,17.295081967213115,508,130.3228346456693,116.70866141732283,carrier_delay,nas_delay,late_aircraft_delay
IAD,11,2428,5.924217462932455,-1.731023102310231,1384,29.80635838150289,21.020289855072463,712,165.6685393258427,152.80790960451978,nas_delay,carrier_delay,late_aircraft_delay
IAD,12,3568,5.90695067264574,-1.2342342342342343,2260,29.994690265486724,22.379679144385026,1216,150.49671052631578,140.27392739273927,carrier_delay,nas_delay,late_aircraft_delay
IAG,1,24,6.0,11.166666666666666,24,33.0,46.6,16,179.75,167.5,nas_delay,carrier_delay,late_aircraft_delay
IAG,2,32,5.25,-3.625,32,20.0,0.125,40,121.5,101.3,late_aircraft_delay,nas_delay,carrier_delay
IAG,3,32,6.375,-2.625,36,33.55555555555556,31.11111111111111,20,103.8,115.4,nas_delay,late_aircraft_delay,carrier_delay
IAG,4,52,8.615384615384615,-4.384615384615385,24,25.5,9.833333333333334,20,244.6,267.6,nas_delay,carrier_delay,late_aircraft_delay
IAG,5,20,4.2,-5.2,24,32.333333333333336,19.5,8,98.5,98.0,nas_delay,carrier_delay,late_aircraft_delay
IAG,6,20,5.4,-0.4,32,24.375,23.125,12,200.0,196.33333333333334,nas_delay,carrier_delay,late_aircraft_delay
IAG,7,20,9.0,9.2,56,34.57142857142857,33.357142857142854,16,142.5,148.5,late_aircraft_delay,nas_delay,carrier_delay
IAG,8,24,4.833333333333333,2.5,32,25.125,34.25,8,118.0,105.5,nas_delay,late_aircraft_delay,carrier_delay
IAG,9,20,3.4,-10.0,12,21.333333333333332,14.333333333333334,4,371.0,352.0,late_aircraft_delay,carrier_delay,nas_delay
IAG,10,12,9.0,1.6666666666666667,16,29.25,29.5,8,778.5,777.0,carrier_delay,nas_delay,late_aircraft_delay
IAG,11,20,7.2,-4.6,12,30.0,16.0,4,142.0,145.0,nas_delay,late_aircraft_delay,carrier_delay
IAG,12,12,4.0,4.666666666666667,16,26.0,27.0,16,106.25,97.75,nas_delay,late_aircraft_delay,carrier_delay
IAH,1,6748,5.98814463544754,0.14362017804154303,5012,31.250598563447724,25.606596942880127,3556,162.40382452193475,160.8909090909091,carrier_delay,nas_delay,late_aircraft_delay
IAH,2,5236,5.651642475171887,1.0099616858237548,3216,31.059701492537314,25.274875621890548,1552,128.42268041237114,121.26041666666667,carrier_delay,nas_delay,late_aircraft_delay
IAH,3,6916,6.185078079814922,0.15865662999420962,5592,31.473533619456365,24.333572969086987,3264,151.70098039215685,145.44581280788177,carrier_delay,nas_delay,late_aircraft_delay
IAH,4,6864,5.877039627039627,1.8458844133099825,5156,31.498836307214894,26.452844894777865,2836,131.1607898448519,124.98148148148148,carrier_delay,nas_delay,late_aircraft_delay
IAH,5,7404,6.163155051323609,4.181226261530114,6776,32.57556080283353,30.29745712596097,7932,162.0811901159859,161.58020304568527,carrier_delay,nas_delay,late_aircraft_delay
